Week,Date,Apple,Arhar,Atta,Bajra,Banana,Besan,Biscuit,BlackPepper,Bread,Brinjal,Butter,Chicken,Coconut,CoconutOil,Coffee,Coriander,CumminSeed,Eggs,Fish,Ghee,GingellyOil,Gram,GroundnutOil,Gur,Jowar,Maida,Maize,Masur,Meat,Milk,Moong,MustardOil,Onion,Potato,Ragi,RedChillies,Rice,Salt,Sugar,Suji,Tea,Tomato,Turmeric,Urad,Vanaspati,Wheat
11,2014-09-01,115.26,81.28,26.8,22.21,43.0,64.14,6.99,752.13,22.7,30.44,41.63,164.3,75.64,185.65,858.35,23.24,231.74,55.44,227.37,427.98,184.38,52.07,122.94,48.85,27.49,29.6,27.37,75.35,400.18,39.92,96.71,108.2,31.57,29.58,29.34,21.14,44.46,13.0,37.9,34.21,165.72,41.0,21.05,87.33,84.14,24.75
12,2014-09-08,115.44,82.59,26.72,21.1,42.58,63.45,7.04,759.77,22.58,30.38,40.45,163.71,75.5,193.57,882.65,22.6,235.63,57.87,232.38,419.85,183.98,53.24,120.3,48.92,27.99,28.69,26.89,74.98,400.45,40.76,98.19,106.59,29.75,27.52,28.74,21.76,45.45,13.01,38.76,33.85,171.82,39.35,21.3,85.6,85.22,24.42
13,2014-09-15,116.74,80.8,26.57,22.38,42.54,62.94,7.07,756.9,23.38,28.54,42.01,165.68,77.06,186.91,877.51,22.96,233.33,56.24,224.76,429.39,186.37,53.61,122.4,47.78,27.21,28.76,27.1,74.96,407.5,41.07,98.12,108.81,29.42,26.47,29.28,22.16,43.45,12.66,38.63,34.35,164.4,36.77,21.98,86.35,83.87,25.04
14,2014-09-22,113.21,81.45,26.94,21.48,43.58,61.49,6.97,737.72,22.73,27.29,39.99,165.21,74.27,190.14,869.76,23.01,230.18,55.12,230.99,408.04,186.08,52.44,123.54,49.53,27.74,29.51,26.56,75.34,412.33,40.87,96.28,108.43,28.37,27.77,29.06,21.66,45.43,13.14,37.66,32.56,164.92,34.59,21.91,85.13,84.69,24.43
15,2014-09-29,113.51,81.8,26.76,21.91,41.85,62.72,7.14,759.77,23.43,25.91,41.26,164.76,76.37,191.81,852.13,23.25,228.03,57.31,232.7,420.09,183.32,53.66,125.29,48.18,27.41,29.23,26.66,75.6,405.55,39.48,98.46,108.9,27.4,26.36,28.91,21.37,44.47,12.57,38.62,33.83,166.59,33.43,21.28,86.0,83.49,25.09
16,2014-10-06,115.38,80.51,27.18,21.65,42.76,62.17,7.01,758.68,23.09,24.52,41.26,163.76,76.92,188.19,870.07,22.57,221.0,56.27,231.42,418.65,185.08,53.44,124.18,48.8,27.73,29.04,26.97,73.59,407.67,41.2,99.49,111.24,27.12,24.61,29.47,21.88,44.7,12.72,38.36,33.33,167.13,35.07,20.58,86.51,85.88,24.69
17,2014-10-13,114.49,81.16,26.76,21.57,42.16,64.82,7.03,739.03,22.97,25.01,40.46,166.0,78.28,191.94,879.75,23.16,228.49,56.77,236.5,416.24,183.7,54.12,121.71,49.47,27.56,29.62,27.19,76.37,407.12,41.75,96.4,109.18,26.48,24.07,29.67,21.63,45.4,12.91,39.42,34.38,169.29,32.02,21.35,86.45,83.33,24.5
18,2014-10-20,116.51,80.8,26.72,22.3,42.2,62.63,6.94,745.69,22.9,24.99,41.1,168.85,75.67,186.21,860.66,22.57,227.46,56.97,226.98,421.89,181.24,52.4,124.88,49.19,27.58,29.21,26.79,72.66,406.26,40.87,99.59,107.55,25.01,23.22,29.66,21.98,44.6,12.64,38.27,34.22,167.87,31.63,21.29,86.47,83.82,24.16
19,2014-10-27,114.24,80.75,26.46,21.74,42.86,62.79,6.77,750.3,22.87,24.51,41.51,164.84,76.43,193.16,880.35,22.26,229.22,56.13,231.45,424.7,186.49,51.7,122.13,48.43,27.27,29.09,26.4,73.73,399.61,40.12,95.35,107.51,25.46,23.64,29.5,21.47,44.4,12.82,37.86,33.42,165.42,33.3,21.24,84.92,83.67,24.38
20,2014-11-03,113.11,79.57,26.51,21.94,42.11,63.04,6.99,737.86,22.06,24.23,39.35,166.4,73.98,188.98,877.59,22.87,226.71,55.22,227.54,425.62,182.77,52.17,120.26,47.99,27.21,29.31,26.88,74.14,411.61,40.32,100.26,109.31,24.64,22.57,28.99,21.46,44.18,12.78,37.35,34.06,165.66,30.29,21.42,84.59,83.43,24.28
21,2014-11-10,117.56,80.28,26.57,21.75,41.98,62.43,7.24,748.81,22.54,24.02,40.82,160.2,73.17,186.96,879.82,22.98,225.36,56.31,231.36,421.67,187.48,52.58,121.84,48.74,27.45,28.74,25.41,74.44,406.23,41.54,96.38,110.14,24.47,24.18,29.42,21.02,43.58,12.67,37.27,34.08,164.72,31.02,21.46,83.01,84.5,23.84
22,2014-11-17,114.38,80.59,25.7,21.84,42.15,63.73,7.05,759.62,22.84,25.85,38.93,163.29,76.47,187.31,860.37,23.32,219.66,55.33,226.71,414.89,177.22,52.32,124.33,48.36,27.62,29.45,25.6,75.42,405.96,40.91,96.82,108.28,25.55,23.58,29.17,21.64,43.72,12.81,37.08,33.14,162.74,31.56,21.41,85.34,82.99,24.12
23,2014-11-24,114.46,81.43,25.74,21.63,41.11,61.46,6.94,721.89,22.48,24.87,39.68,159.67,75.33,189.78,861.0,21.99,221.51,55.68,224.81,419.75,179.39,51.81,121.76,47.25,26.92,28.36,26.3,71.42,398.14,40.62,93.57,108.59,26.44,24.08,29.01,21.46,43.12,12.58,38.14,34.18,162.21,35.17,21.16,85.75,84.77,23.83
24,2014-12-01,111.56,80.59,26.44,21.12,40.65,61.98,6.89,711.82,21.96,27.55,41.04,158.11,76.38,185.52,868.21,22.52,225.22,53.17,229.6,416.78,180.26,50.5,121.13,46.92,26.71,28.85,25.92,72.56,399.09,40.31,95.76,108.13,25.98,25.25,28.61,21.07,43.38,12.61,37.23,32.85,166.17,36.69,20.38,86.12,81.82,24.23
25,2014-12-08,112.58,81.68,26.11,21.75,40.34,60.93,6.9,726.46,22.32,26.98,39.58,159.18,73.38,184.52,853.1,22.06,228.32,55.04,223.02,420.16,182.47,52.11,123.57,45.8,27.19,29.06,26.03,70.5,399.63,39.56,95.76,109.03,29.12,25.65,28.56,21.43,41.74,12.73,37.36,32.63,158.68,36.5,20.74,84.22,82.7,24.39
26,2014-12-15,113.23,78.02,25.86,21.19,39.6,60.19,6.92,727.26,22.81,28.23,39.07,163.07,75.18,185.36,838.16,22.36,221.29,53.94,219.27,417.63,179.81,53.06,117.83,47.15,26.83,27.76,25.7,72.5,390.75,39.68,94.91,103.46,27.11,27.38,28.7,21.61,43.32,12.62,37.71,33.01,166.27,37.86,21.46,82.61,81.25,23.4
27,2014-12-22,110.68,79.62,25.83,20.77,41.86,60.6,6.72,713.15,22.58,28.65,39.48,161.8,76.39,182.23,835.61,21.52,221.68,55.56,221.42,411.54,178.86,51.74,117.69,46.76,27.06,28.08,25.77,72.43,388.76,39.6,93.82,107.15,32.82,27.63,29.58,21.15,42.79,12.57,35.41,32.29,160.92,37.61,20.78,81.17,82.39,24.34
28,2014-12-29,112.78,78.54,25.85,21.04,39.76,60.9,6.93,727.78,22.08,30.46,40.65,159.43,74.58,189.71,840.97,21.49,222.74,54.5,224.37,404.38,174.37,51.67,116.72,47.41,26.27,28.58,25.12,73.54,393.9,39.82,92.88,107.28,32.8,29.38,28.59,21.22,42.48,12.17,37.24,32.37,159.24,41.76,20.68,84.21,81.56,23.6
29,2015-01-05,110.73,80.59,25.41,21.56,40.12,60.34,6.86,693.8,22.33,32.61,38.21,154.55,74.19,182.78,819.02,21.56,215.93,53.97,226.17,404.38,173.61,51.47,119.82,46.65,25.83,28.48,25.53,71.64,399.29,40.23,95.41,103.35,32.19,30.81,28.12,21.15,42.66,12.43,36.4,32.88,162.23,40.92,20.59,80.46,81.09,23.21
30,2015-01-12,110.85,76.87,25.22,21.28,39.92,59.91,6.84,712.47,21.83,32.9,38.52,157.1,73.68,186.03,830.36,21.75,218.9,53.97,221.34,403.6,176.87,51.18,119.11,47.13,26.23,27.81,25.58,72.34,391.62,39.87,93.49,103.74,33.14,29.83,27.94,20.62,41.45,12.12,36.46,32.1,163.42,42.45,20.53,81.96,82.44,23.73
31,2015-01-19,109.96,76.6,25.5,20.83,40.12,59.1,6.79,695.09,21.33,33.78,39.88,157.69,71.77,183.92,843.07,21.44,214.36,52.58,224.66,403.73,171.83,51.43,121.2,45.52,26.05,27.47,25.56,71.57,388.68,38.26,95.27,103.5,33.91,30.77,28.0,21.57,43.44,12.01,35.61,31.16,161.99,41.94,19.58,81.86,79.96,23.23
32,2015-01-26,113.71,76.66,24.96,20.76,40.28,60.12,6.72,717.39,21.53,33.63,39.96,156.86,74.77,180.33,800.02,21.79,218.88,54.52,215.42,406.1,173.48,50.89,118.65,46.64,26.24,28.09,25.77,70.22,389.13,39.1,92.04,103.43,33.45,31.47,29.04,20.73,42.01,12.19,35.52,32.05,160.01,42.03,20.17,81.82,81.23,23.28
33,2015-02-02,110.31,74.72,25.42,20.71,40.18,58.71,6.77,717.64,22.29,32.21,38.7,151.58,72.49,182.64,844.08,21.84,215.81,54.66,217.94,407.81,175.73,50.25,117.29,45.31,25.95,28.11,25.0,68.94,390.61,39.31,91.89,103.6,34.16,30.7,27.91,21.04,41.86,12.01,36.09,31.45,160.98,44.2,20.17,81.76,79.4,23.11
34,2015-02-09,108.33,76.42,24.55,21.42,39.2,60.63,6.75,685.2,21.65,32.63,37.95,153.45,73.58,184.51,837.3,21.65,215.68,53.24,218.09,402.35,171.44,49.79,117.82,46.09,26.44,27.06,24.94,70.57,390.78,39.15,93.41,104.55,33.67,31.18,28.4,21.03,41.23,12.29,37.03,32.13,153.9,42.52,20.53,81.73,80.3,22.91
35,2015-02-16,111.27,76.04,25.55,20.84,39.36,59.94,6.64,685.5,21.63,31.75,39.83,155.08,71.27,181.75,816.44,21.93,211.59,54.1,218.4,402.12,177.94,50.14,117.9,44.41,25.98,26.99,24.19,68.5,404.97,38.36,89.78,105.39,33.29,30.76,27.83,20.72,41.78,12.28,36.18,31.99,156.47,42.87,20.1,78.5,78.6,23.41
36,2015-02-23,107.74,77.02,25.3,20.83,39.56,58.52,6.61,699.15,21.59,32.89,39.48,156.26,71.64,185.39,827.99,21.5,216.12,52.28,218.9,402.47,176.72,50.52,114.71,45.52,26.13,27.54,24.52,71.39,398.59,40.39,90.21,105.66,32.89,30.51,28.08,20.94,42.59,11.76,36.26,32.32,155.33,40.52,19.54,81.39,79.16,23.02
37,2015-03-02,110.05,77.21,25.19,21.0,39.19,59.53,6.68,684.29,22.3,29.82,38.91,149.61,74.46,184.97,820.9,20.94,220.41,52.05,220.85,398.28,169.24,50.03,122.35,43.89,26.11,27.69,24.61,69.73,398.6,37.92,93.38,102.68,30.83,28.25,28.29,20.82,42.33,11.95,35.41,32.02,160.32,38.06,20.16,78.62,79.82,22.6
38,2015-03-09,106.43,78.99,25.46,20.75,40.3,59.15,6.82,687.13,22.21,30.65,38.03,154.37,72.57,184.83,836.14,21.78,210.03,52.71,217.26,395.82,170.9,50.52,118.59,45.07,26.12,27.29,25.07,71.16,399.82,38.04,90.14,102.71,31.06,27.01,27.73,20.31,42.2,11.84,35.15,32.11,156.44,37.01,19.77,82.25,82.11,23.3
39,2015-03-16,107.54,77.98,25.73,20.6,39.62,60.15,6.54,687.44,22.42,29.61,38.49,155.12,74.6,181.37,833.61,21.14,212.21,53.04,219.38,391.06,167.42,50.66,118.19,45.56,26.05,27.71,24.42,69.35,388.04,38.83,89.24,106.16,30.2,26.51,27.73,20.66,42.02,12.03,35.05,31.27,159.44,36.37,19.64,80.74,80.1,22.69
40,2015-03-23,110.19,76.32,25.5,20.64,39.79,61.15,6.53,666.24,21.68,29.38,38.46,156.91,73.06,180.06,805.15,21.65,214.21,52.42,219.13,397.97,171.56,51.03,119.09,44.9,26.29,27.15,24.97,70.2,387.6,39.97,94.51,105.29,29.2,24.94,28.73,20.6,41.48,12.21,35.23,32.01,158.86,34.1,19.77,78.9,82.07,22.73
41,2015-03-30,111.28,76.1,24.44,20.71,39.79,58.4,6.7,687.36,21.87,26.45,38.81,156.75,71.32,181.75,831.23,21.89,216.28,53.25,216.74,405.77,175.92,51.47,119.52,44.57,25.82,26.6,24.69,70.22,389.32,38.32,90.03,104.64,28.0,25.25,28.51,20.69,40.85,12.1,34.4,32.62,155.76,32.19,20.22,80.7,80.49,23.59
42,2015-04-06,110.58,77.9,24.71,20.76,40.17,60.33,6.71,680.8,21.34,26.56,39.55,156.78,74.48,184.47,823.38,21.57,212.19,53.17,219.98,399.61,173.19,50.7,118.37,45.98,26.74,27.37,24.66,70.07,404.56,38.74,92.43,105.53,28.35,22.96,28.5,20.48,41.73,12.06,35.19,31.41,156.75,33.65,20.48,81.2,79.95,22.81
43,2015-04-13,110.41,76.04,25.02,21.06,39.66,60.27,6.74,684.13,22.38,27.22,39.32,153.88,73.12,186.06,829.36,20.98,205.14,52.25,220.6,403.6,175.97,49.81,117.91,45.41,26.17,27.64,24.87,69.82,395.29,39.64,92.5,105.1,26.46,25.18,28.59,21.3,41.82,12.44,35.36,32.69,161.68,30.67,20.29,83.6,82.51,22.48
44,2015-04-20,110.47,79.95,25.35,20.91,38.88,61.23,6.77,706.78,21.6,24.21,38.29,151.7,74.79,179.51,822.17,21.23,219.61,53.64,221.36,409.25,171.32,50.72,120.51,45.26,25.83,27.58,24.69,70.91,392.94,39.13,88.71,106.35,26.52,23.82,28.56,21.52,42.76,11.82,35.67,31.66,157.23,30.76,20.39,82.67,81.46,23.58
45,2015-04-27,108.93,79.51,25.63,21.2,40.04,61.07,6.75,679.3,22.14,23.16,39.87,155.85,74.38,186.13,856.04,22.04,218.32,54.11,222.93,411.16,178.08,51.22,120.65,45.78,26.53,27.31,24.76,69.72,399.5,39.1,92.62,105.46,27.23,22.49,29.33,21.41,42.44,12.52,35.95,31.63,159.97,30.55,20.41,83.18,80.48,23.34
46,2015-05-04,110.66,77.95,25.25,21.03,39.55,60.48,6.95,704.06,21.81,22.85,39.41,159.77,73.03,187.48,850.87,21.63,210.84,53.76,224.1,403.23,175.25,50.04,119.13,47.78,26.23,27.15,24.35,69.68,402.63,39.79,93.99,106.88,26.11,23.17,28.63,21.6,43.44,12.24,36.21,32.32,158.45,29.48,20.38,84.57,82.17,23.47
47,2015-05-11,111.6,76.89,25.71,21.17,39.79,61.16,6.67,694.68,22.08,25.35,39.8,161.38,75.25,187.28,832.76,21.81,215.47,54.79,223.56,417.71,177.54,52.71,123.62,46.92,26.95,27.82,25.01,72.62,407.71,39.8,94.26,104.66,26.65,21.3,28.99,21.2,43.37,12.39,36.15,32.66,160.29,32.1,20.65,83.41,81.63,23.54
48,2015-05-18,114.67,80.82,25.47,20.62,40.65,61.05,6.78,697.43,22.11,23.58,40.44,160.48,77.84,192.52,829.59,22.13,223.63,53.13,230.29,420.54,178.12,52.04,122.3,47.12,27.68,28.54,25.03,72.39,409.91,40.44,95.46,106.49,26.91,25.21,28.3,21.22,42.51,12.36,36.0,32.91,161.7,29.74,19.78,84.87,80.0,23.85
49,2015-05-25,114.06,79.55,25.65,21.64,41.23,63.05,6.89,712.02,22.31,25.58,39.13,160.57,76.42,191.27,845.74,22.21,224.24,54.75,223.59,409.03,175.92,52.5,123.74,46.82,26.64,28.83,25.13,72.01,406.15,40.8,94.09,107.1,28.76,23.25,28.71,21.29,41.87,12.81,35.4,32.17,160.75,32.19,20.65,85.23,83.95,23.62
50,2015-06-01,111.15,81.54,25.48,21.57,40.69,62.45,6.77,710.22,22.45,27.15,39.96,161.25,76.25,194.77,860.47,22.19,223.62,53.71,226.33,413.12,177.18,53.53,125.6,46.86,27.22,28.94,25.61,74.09,417.3,40.44,96.12,108.18,28.38,24.44,28.72,21.85,44.12,12.36,36.34,33.01,161.17,33.26,20.4,83.29,84.59,24.53
51,2015-06-08,115.24,78.73,25.8,21.89,41.07,64.49,6.95,715.93,22.58,27.9,39.88,159.85,77.92,191.82,862.76,22.14,221.02,54.04,239.03,427.61,183.72,52.32,123.92,45.28,26.54,28.25,25.82,72.37,412.26,40.65,94.63,107.95,30.69,23.91,29.92,21.84,44.33,12.66,36.3,32.65,165.02,34.15,21.19,87.13,85.94,23.62
52,2015-06-15,114.68,80.32,25.77,20.78,42.12,63.09,7.18,723.51,23.15,29.15,39.49,161.7,77.43,196.06,880.05,22.22,222.98,54.72,227.95,421.83,183.2,53.53,125.16,46.72,27.56,28.26,25.78,74.45,417.59,40.82,94.11,109.19,30.58,26.83,28.49,21.87,42.82,12.82,37.28,32.44,163.19,34.05,20.89,84.08,84.7,24.43
53,2015-06-22,114.82,81.47,26.06,22.47,41.44,62.86,7.05,712.61,22.65,30.01,40.83,166.81,77.88,199.08,879.07,22.72,223.38,54.76,228.26,411.61,185.89,53.31,126.75,47.1,27.18,29.1,26.2,73.58,424.98,41.21,94.76,108.31,31.0,26.47,29.56,22.42,44.88,12.5,37.7,32.88,164.15,37.86,21.05,87.41,84.36,24.63
54,2015-06-29,117.57,81.97,26.97,21.88,43.08,62.49,7.11,712.76,23.21,31.9,42.31,161.42,76.92,199.36,885.99,22.73,228.63,55.36,236.36,418.87,184.95,53.56,124.79,46.34,27.43,29.31,26.16,72.65,419.92,41.17,95.02,112.13,33.31,28.39,28.64,22.26,44.39,12.69,37.9,33.14,164.71,38.95,20.68,84.91,86.12,24.26
55,2015-07-06,118.87,81.83,26.33,22.38,42.04,62.58,6.99,710.71,23.66,30.82,39.96,168.3,78.78,194.03,882.62,22.57,223.06,55.91,228.51,428.07,185.41,53.4,126.85,47.07,27.39,29.36,25.95,76.1,422.82,41.36,98.98,111.76,33.36,28.66,29.71,22.0,44.47,12.9,37.98,33.92,167.62,38.41,21.56,87.96,86.59,24.29
56,2015-07-13,119.28,83.49,27.83,21.81,40.82,63.1,7.09,716.48,23.21,31.75,41.22,164.46,80.07,197.36,865.79,23.12,224.31,57.02,235.74,424.69,181.39,55.51,127.65,46.7,28.25,28.48,26.0,75.52,431.87,42.26,95.87,109.84,34.87,28.85,30.01,22.16,45.61,12.83,37.65,34.39,170.88,40.86,21.54,89.94,87.97,25.13
57,2015-07-20,116.88,81.94,27.13,22.43,42.52,65.08,7.15,760.32,23.26,32.15,41.8,169.1,78.44,198.14,884.75,22.82,231.27,56.34,244.66,431.27,186.08,54.25,126.41,48.27,28.49,29.09,26.4,74.64,425.89,42.64,98.82,111.75,32.55,29.52,30.94,22.69,45.63,12.9,37.6,33.28,172.99,41.07,21.61,87.83,86.35,24.54
58,2015-07-27,118.27,83.38,27.13,22.0,42.46,65.59,7.19,744.28,23.53,33.79,41.67,163.27,81.26,201.35,904.2,22.67,228.66,55.55,233.77,435.88,187.52,55.3,132.72,49.06,28.22,29.57,26.6,75.85,430.77,41.06,98.46,114.09,35.16,30.59,30.66,22.91,45.38,13.05,37.62,34.3,168.36,39.44,21.27,88.18,86.59,24.78
59,2015-08-03,119.8,84.02,26.83,22.22,43.16,63.99,7.38,718.26,24.08,33.85,41.69,168.62,79.97,202.78,894.04,22.79,234.16,57.96,233.38,446.29,193.46,53.6,126.79,49.43,27.98,29.9,27.01,74.89,438.18,42.11,99.05,113.22,34.82,29.31,30.28,22.85,45.44,13.28,37.33,33.7,175.91,39.88,21.36,89.6,86.28,25.4
60,2015-08-10,121.29,84.79,27.51,23.09,42.92,66.45,7.33,720.48,23.85,33.2,41.13,166.02,79.42,199.52,904.13,22.79,228.08,56.56,235.88,437.26,190.78,56.1,127.49,49.09,29.05,30.11,27.01,76.46,448.62,41.86,101.44,113.42,34.11,29.49,31.19,23.35,45.68,13.14,38.82,34.68,168.93,41.78,21.73,88.78,88.1,25.19
61,2015-08-17,119.24,85.29,27.1,22.5,42.54,65.43,7.18,741.69,23.69,33.35,42.16,164.87,81.74,202.68,896.8,23.08,230.71,57.35,244.5,446.9,193.59,56.19,132.5,48.24,28.21,29.94,26.4,73.19,442.01,42.21,99.18,114.78,34.11,30.17,30.86,23.34,45.16,13.45,38.28,34.18,174.44,40.13,21.51,91.7,85.87,24.62
62,2015-08-24,120.03,83.4,27.43,22.68,41.97,66.18,7.34,743.59,24.09,30.6,41.68,169.13,80.59,197.74,890.41,23.63,228.32,57.89,245.96,450.23,191.59,55.63,131.85,47.66,27.72,30.08,26.62,74.83,442.74,42.74,100.89,115.77,33.46,31.09,30.95,23.04,45.49,13.1,37.76,34.06,170.54,38.15,21.91,89.96,88.9,25.93
63,2015-08-31,118.75,83.12,28.42,22.93,42.66,67.65,7.38,744.4,23.63,32.2,40.92,171.31,81.93,207.56,903.59,23.0,231.76,57.8,241.23,451.22,188.53,55.52,129.15,47.85,28.82,30.04,26.96,77.11,444.35,42.98,100.25,113.3,33.11,28.47,30.51,22.69,45.04,13.08,38.05,35.02,170.52,36.62,21.14,89.54,88.87,25.18
64,2015-09-07,118.78,86.51,27.44,22.84,42.31,67.13,7.46,736.04,24.25,31.09,42.96,167.11,80.95,202.77,910.44,23.35,227.07,58.6,245.6,444.99,191.0,56.09,132.26,48.24,28.24,30.33,27.14,75.87,436.23,42.6,100.11,116.6,31.08,26.34,30.66,22.59,45.46,13.68,38.07,34.4,171.07,35.66,21.68,89.43,89.01,25.26
65,2015-09-14,122.24,85.53,27.94,22.75,42.5,66.17,7.51,737.41,24.19,29.36,42.86,165.66,81.32,204.64,899.52,23.09,230.46,58.15,248.24,431.88,191.49,57.58,133.96,48.53,29.1,30.2,27.09,76.4,443.87,41.59,103.63,114.68,31.54,25.78,30.77,22.9,45.48,13.22,38.59,34.56,172.89,34.31,22.4,89.06,88.57,25.52
66,2015-09-21,123.2,84.34,27.23,22.83,43.21,65.67,7.25,741.88,23.98,29.23,42.34,169.03,82.0,203.9,905.25,23.22,227.3,57.08,249.76,446.81,188.48,54.58,131.48,49.04,28.57,30.1,26.7,74.73,443.66,42.17,98.37,115.99,31.46,25.09,31.16,23.27,45.32,13.11,39.14,33.66,174.46,32.42,21.98,89.5,90.31,25.66
67,2015-09-28,120.82,87.01,27.48,23.46,43.85,64.55,7.27,738.37,23.81,25.25,42.44,168.97,81.82,207.94,896.6,22.8,234.2,59.51,243.25,450.39,189.92,56.51,136.13,48.4,28.96,29.95,26.22,78.13,446.07,43.26,102.18,116.01,29.63,23.8,31.18,23.61,45.8,13.03,38.34,35.18,174.65,30.04,21.89,89.85,89.52,26.12
68,2015-10-05,122.54,85.32,28.15,22.67,43.02,65.82,7.22,711.99,23.79,25.37,42.9,170.33,79.34,197.3,921.66,23.2,234.0,57.87,236.54,443.36,190.26,55.22,128.59,49.29,29.26,30.07,26.28,77.34,445.08,41.11,101.2,115.24,29.29,23.99,31.79,23.17,45.47,13.54,37.24,35.09,170.66,32.16,22.43,89.65,87.7,24.83
69,2015-10-12,121.34,86.48,27.19,22.72,41.99,66.22,7.32,731.96,24.23,24.49,42.35,171.03,80.24,204.79,903.31,23.18,225.5,57.52,241.21,453.98,194.81,55.85,132.74,48.8,28.2,30.2,26.72,75.72,446.55,43.36,99.45,114.4,28.9,22.73,31.28,23.38,45.93,13.26,38.31,34.66,170.34,30.99,21.06,89.37,87.64,25.68
70,2015-10-19,119.47,85.08,28.08,22.95,42.89,65.45,7.38,723.13,24.43,25.26,42.68,168.31,82.38,204.4,923.65,23.37,235.13,58.31,242.24,448.0,184.8,55.61,133.44,48.86,28.4,30.06,26.69,75.34,442.38,42.91,102.23,115.42,28.59,22.81,29.96,22.92,44.5,13.26,38.24,33.86,170.23,27.71,21.48,92.62,87.17,25.61
